[description:"Test and symlink .shell" end:"1613214730" entry:"1576338074" modified:"1613214734" project:"shell" status:"deleted" uuid:"74ffc3c1-ef4c-48bc-82d6-ea0d4c2978bb"]
[description:"Test and symlink .vim" end:"1613214734" entry:"1576338081" modified:"1613214734" project:"shell" status:"deleted" uuid:"68d48f2e-d7cb-4643-ab1a-bccfc0c67048"]
[description:"Test and symlink bin" end:"1613214734" entry:"1576338148" modified:"1613214734" project:"shell" status:"deleted" uuid:"f1b1e487-c2f4-4d37-b1fe-16c854ae4e37"]
[description:"Test and symlink polybar" end:"1613214734" entry:"1576338190" modified:"1613214734" project:"shell" status:"deleted" uuid:"66755d27-02ab-41f0-aaed-64aaafbfca48"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1578180694" end:"1610605530" entry:"1578112835" imask:"17.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"6f944a3d-2851-4b47-aa75-0ee099df69e4"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1578180739" end:"1610605534" entry:"1578112835" imask:"17.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"92caaeea-cb71-4969-a15b-afb085698124"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1578180746" end:"1610605538" entry:"1578112835" imask:"17.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"6570a0b9-f8cf-428a-a396-3f663f73d5d3"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1578267094" end:"1610605530" entry:"1578242333" imask:"18.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"f0991198-ea02-4a7e-9873-7dc9fa11bab6"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1578267139" end:"1610605534" entry:"1578242333" imask:"18.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"ed9d7918-734e-4a64-a198-809cac6fc647"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1578267146" end:"1610605538" entry:"1578242333" imask:"18.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"84ea868c-175a-4bce-988d-1dfa9d12c7f2"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1578353494" end:"1610605530" entry:"1578271994" imask:"19.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"c4766dbe-9680-4ae8-9c70-37cf1d24a813"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1578353539" end:"1610605534" entry:"1578271994" imask:"19.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"0859756c-6632-423a-b92f-ca148df4e454"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1578353546" end:"1610605538" entry:"1578271994" imask:"19.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"7f6ebda0-95fc-4597-bccd-0a9282c1498f"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1578439894" end:"1610605530" entry:"1578508120" imask:"20.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"b28858eb-39cb-4e85-a13d-3a0f4ecc7ae1"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1578526294" end:"1610605530" entry:"1578508120" imask:"21.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"124ab7aa-d243-45d1-b58d-39cb5058d639"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1578439939" end:"1610605534" entry:"1578508120" imask:"20.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"506623eb-e3f2-4cb1-b749-ccf40af06f4b"]
[description:"Implement in NodeJS a search, sort, dynamic programming, or graph algorithm" due:"1578526339" end:"1610605534" entry:"1578508120" imask:"21.000000" modified:"1610605534" parent:"86b8a7a2-a266-4540-86b3-fa2b7a52fe7c" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"673a3d82-a7b4-4a06-8e4e-ea0b8138d36e"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1578439946" end:"1610605538" entry:"1578508120" imask:"20.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"17bddc9d-a33a-4549-a990-d5fb8919d6de"]
[description:"Implement in Python a search, sort, dynamic programming, or graph algorithm" due:"1578526346" end:"1610605538" entry:"1578508120" imask:"21.000000" modified:"1610605538" parent:"5b33301b-e96a-4f1e-9ea8-be80ad10bc44" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"e22b74c5-d5f5-44d9-b34c-8d8024f4c5f9"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1578612694" end:"1610605530" entry:"1578526309" imask:"22.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"f216f7f5-e7cb-47a1-aa97-e9b139b9c654"]
[description:"Implement in C++ a search, sort, dynamic programming, or graph algorithm" due:"1578612694" end:"1610605530" entry:"1578526309" imask:"22.000000" modified:"1610605530" parent:"471d3813-fb32-44e7-8bdf-6a94c26685fa" priority:"H" project:"algorithmia" recur:"daily" rtype:"periodic" status:"deleted" uuid:"87681ce6-57ab-4a9a-8a8c-2a895b55bee7"]
